# Type, Name, Class_ID, Sizeof, Value, C_Type, C_Format, Hidden, Description, Min_Value, Max_Value, Permissions (Read|Write|Set-by-create), Mandatory (Mandatory|Optional), Operations (Create|Delete|Set|Get|get-Next|Test|Reboot|stArt-download|downLoad-section|End-download|activate-Image|coMmit-image|sYnchronize-time)
        value, tagged_action_h_tci_investigation_untagged_bridging_a,,,11,,,,,,,,,
        value, tagged_action_h_tci_investigation_untagged_discarding_c,,,12,,,,,,,,,
        value, tagged_action_g_tci_investigation_untagged_bridging_a,,,13,,,,,,,,,
        value, tagged_action_g_tci_investigation_untagged_discarding_c,,,14,,,,,,,,,
        value, tagged_action_h_vid_investigation_untagged_bridging_a_dup,,,15,,,,,,,,,
        value, tagged_action_h_vid_investigation_untagged_discarding_c_dup,,,16,,,,,,,,,
        value, tagged_action_h_pri_investigation_untagged_bridging_a_dup,,,17,,,,,,,,,
        value, tagged_action_h_pri_investigation_untagged_discarding_c_dup,,,18,,,,,,,,,
        value, tagged_action_h_tci_investigation_untagged_bridging_a_dup,,,19,,,,,,,,,
        value, tagged_action_h_tci_investigation_untagged_discarding_c_dup,,,20,,,,,,,,,
        value, tagged_bridging_a_no_investigation_untagged_discarding_c_dup,,,21,,,,,,,,,
        value, tagged_action_j_vid_investigation_untagged_bridging_a,,,22,,,,,,,,,
        value, tagged_action_j_vid_investigation_untagged_discarding_c,,,23,,,,,,,,,
        value, tagged_action_j_pri_investigation_untagged_bridging_a,,,24,,,,,,,,,
        value, tagged_action_j_pri_investigation_untagged_discarding_c,,,25,,,,,,,,,
        value, tagged_action_j_tci_investigation_untagged_bridging_a,,,26,,,,,,,,,
        value, tagged_action_j_tci_investigation_untagged_discarding_c,,,27,,,,,,,,,
        value, tagged_action_vid_investigation_h_untagged_bridging_a,,,28,,,,,,,,,
        value, tagged_action_vid_investigation_h_untagged_discarding_c,,,29,,,,,,,,,
        value, tagged_action_pri_investigation_h_untagged_bridging_a,,,30,,,,,,,,,
        value, tagged_action_pri_investigation_h_untagged_discarding_c,,,31,,,,,,,,,
        value, tagged_action_tci_investigation_h_untagged_bridging_a,,,32,,,,,,,,,
        value, tagged_action_tci_investigation_h_untagged_discarding_c,,,33,,,,,,,,,
    attribute, num_of_entries,,1,, int, %u,, number of entries,,, RWS, M,
me, tcont,262,,,,,, T-CONT,,,,, SG
    attribute, alloc_id,,2,, int, %u,, Alloc-ID,,, RW, M,
    attribute, deprecated,,1,, int, %u,, Deprecated,,, RW, M,
    attribute, policy,,1,, enum,,, Policy,,, RW, M,
        value, null,,,0,,,, Null,,,,,
        value, strict_priority,,,1,,,, Strict priority,,,,,
        value, wrr,,,2,,,, WRR,,,,,
me, ext_vlan_tag_oper_config_data,171,,,,,, Extended VLAN Tagging Operation Configuration Data,,,,, CDSG
    attribute, assoc_type,,1,, enum,,, Association Type,,, RWS, M,
        value, mac_bridge_port_cfg_data,,,0,,,, MAC Bridge Port Configuration Data,,,,,
        value, ieee_8021p_mapper_service_profile,,,1,,,, IEEE 802.1p Mapper Service Profile,,,,,
        value, pptp_eth_uni,,,2,,,, Physical Path Termination Point Ethernet UNI,,,,,
        value, ip_host_cfg_data,,,3,,,, IP Host Config Data or IPv6 Host Config Data,,,,,
        value, pptp_xdsl_uni,,,4,,,, Physical Path Termination Point xDSL UNI,,,,,
        value, gem_iwtp,,,5,,,, GEM Interworking Termination Point,,,,,
        value, mcast_gem_iwtp,,,6,,,, Multicast GEM Interworking Termination Point,,,,,
        value, pptp_moca_uni,,,7,,,, Physical Path Termination Point MoCA UNI,,,,,
        value, reserved,,,8,,,, Reserved,,,,,
        value, eth_flow_tp,,,9,,,, Ethernet Flow Termination Point,,,,,
        value, veip,,,10,,,, Virtual Ethernet Interface Point,,,,,
        value, mpls_pseudowire_tp,,,11,,,, MPLS Pseudowire Termination Point,,,,,
    attribute, rx_frame_vlan_tag_oper_table_max_size,,2,, int, %u,, Rx Frame VLAN Tagging Operation Table Max Size,,, R, M,
    attribute, input_tpid,,2,, int, %x,, Input TPID,,, RW, M,
    attribute, output_tpid,,2,, int, %x,, Output TPID,,, RW, M,
    attribute, ds_mode,,1,, enum,,, Downstream Mode,,, RW, M,
        value, us_inverse,,,0,,,, The operation performed in the downstream direction is the inverse of that performed in the upstream direction,,,,,
        value, forward_unmodified,,,1,,,, Regardless of the filter rules no operation is performed in the downstream direction. All downstream frames are forwarded unmodified,,,,,
        value, match_inverse_on_vid_pbit_default_forward,,,2,,,, Filter on VID and p-bit value. On a match perform the inverse operation on both the VID and p-bit value. If no match is found forward the frame unmodified,,,,,
        value, match_inverse_on_vid_default_forward,,,3,,,, Filter on VID only. On a match perform the inverse VID operation only; pass the p bits through. If no match is found forward the frame unmodified,,,,,
        value, match_inverse_on_pbit_default_forward,,,4,,,, Filter on p-bit only. On a match perform the inverse p-bit operation only; pass the VID through. If no match is found forward the frame unmodified,,,,,
        value, match_inverse_on_vid_pbit_default_discard,,,5,,,, Filter on VID and p-bit value. On a match perform the inverse operation on both the VID and p-bit value. If no match is found discard the frame,,,,,
        value, match_inverse_on_vid_default_discard,,,6,,,, Filter on VID. On a match perform the inverse operation on the VID only; pass the p bits through. If no match is found discard the frame,,,,,
        value, match_inverse_on_pbit_default_discard,,,7,,,, Filter on p-bit only. On a match perform the inverse p-bit operation only; pass the VID through. If no match is found discard the frame,,,,,
        value, discard_all,,,8,,,, Regardless of the filter rules discard all downstream traffic,,,,,
    attribute, rx_frame_vlan_tag_oper_table,,16,, struct,,, Downstream Mode,,, RW, M,
        field, outer_filter_word,,4,, struct,,, Outer filter word,,,,,
            subfield, filter_outer_priority,, :4,,,,, Filter outer priority,,,,,
            subfield, filter_outer_vid,, :13,,,,, Filter outer VID,,,,,
            subfield, filter_outer_tpid,, :3,,,,, Filter outer TPID/DEI,,,,,
            subfield, pad,, :12,,,, hidden, Padding,,,,,
        field, inner_filter_word,,4,, struct,,, Inner filter word,,,,,
            subfield, filter_inner_priority,, :4,,,,, Filter inner priority,,,,,
            subfield, filter_inner_vid,, :13,,,,, Filter inner VID,,,,,
            subfield, filter_inner_tpid,, :3,,,,, Filter inner TPID/DEI,,,,,
            subfield, pad,, :8,,,, hidden, Padding,,,,,
            subfield, filter_ether_type,, :4,,,,, Filter Ethertype,,,,,
        field, outer_treatment_word,,4,, struct,,, Outer treatment word,,,,,
            subfield, treatment,, :2,,,,, Treatment,,,,,
            subfield, pad,, :10,,,, hidden, Padding,,,,,
            subfield, treatment_outer_priority,, :4,,,,, Treatment outer priority,,,,,
            subfield, treatment_outer_vid,, :13,,,,, Treatment outer VID,,,,,
            subfield, treatment_outer_tpid,, :3,,,,, Treatment outer TPID/DEI,,,,,
        field, inner_treatment_word,,4,, struct,,, Inner treatment word,,,,,
            subfield, pad,, :12,,,, hidden, Padding,,,,,
            subfield, treatment_inner_priority,, :4,,,,, Treatment inner priority,,,,,
            subfield, treatment_inner_vid,, :13,,,,, Treatment inner VID,,,,,
            subfield, treatment_inner_tpid,, :3,,,,, Treatment inner TPID/DEI,,,,,
    attribute, assoc_me_ptr,,2,, int, %u,, Associated ME Pointer,,, RWS, M,
    attribute, dscp_to_pbit_mapping,,24,, bytes,,, DSCP to P-bit Mapping,,, RW, O,
me, priority_queue_g,277,,,,,, priority queue-G,,,,, SG
    attribute, queue_config_opt,,1,, int, %u,, Queue configuration option,,, R, M,
    attribute, max_queue_size,,2,, int, %u,, Maximum queue size,,, R, M,
    attribute, allocated_queue_size,,2,, int, %u,, Allocated queue size,,, RW, M,
    attribute, discard_counter_reset_interval,,2,, int, %u,, Discard-block counter reset interval,,, RW, O,
    attribute, discard_threshold,,2,, int, %u,, Threshold value for discarded blocks due to buffer overflow,,, RW, O,
    attribute, related_port,,4,, bytes,,, Related port,,, RW, M,
    attribute, traffic_scheduler_ptr,,2,, int, %u,, Traffic scheduler pointer,,, RW, M,
    attribute, weight,,1,, int, %u,, Weight,,, RW, M,
    attribute, back_pressure_oper,,2,, int, %u,, Back pressure operation,,, RW, M,
    attribute, back_pressure_time,,4,, int, %u,, Back pressure time,,, RW, M,
    attribute, back_pressure_occur_queue_thr,,2,, int, %u,, Back pressure occur queue threshold,,, RW, M,
    attribute, back_pressure_clear_queue_thr,,2,, int, %u,, Back pressure clear queue threshold,,, RW, M,
    attribute, packet_drop_queue_thr,,8,, bytes,,, Packet drop queue thr,,, RW, O,
    attribute, packet_drop_max_p,,2,, int, %u,, Packet drop max_p,,, RW, O,
    attribute, queue_drop_w_q,,1,, int, %u,, Queue drop w_q,,, RW, O,
